Date,Close,High,Low,Open,Volume,Ticker,Target,Retorno_real
2020-01-02,34.087554931640625,34.087554931640625,33.15536919955375,33.41530325488883,22732710,ITUB4.SA,1,2.0118077984327067
2020-01-03,33.72901916503906,34.27578331537055,33.56767651927911,33.612494547739736,27380540,ITUB4.SA,1,0.3466705428061187
2020-01-06,33.227073669433594,33.6842017714598,33.083660489053145,33.657313210574934,24524170,ITUB4.SA,0,-1.278294373794998
2020-01-07,32.45622253417969,33.37944522927594,32.45622253417969,33.227069215691614,22000990,ITUB4.SA,0,-2.319935822530779
2020-01-08,31.927391052246094,32.99402713903496,31.927391052246094,32.67134933727119,28578990,ITUB4.SA,0,-2.2770969063600726
2020-01-09,31.29099464416504,32.20525468742354,30.941426397584667,32.07976720358793,53266180,ITUB4.SA,0,-2.4587851726513428
2020-01-10,31.01313018798828,31.775014161499072,30.986241625610447,31.443371633600503,28073760,ITUB4.SA,0,-1.3683056977021633
2020-01-13,31.425443649291992,31.730195730395494,31.138617276214795,31.389590352657343,32120770,ITUB4.SA,1,0.11422033939227094
2020-01-14,31.425443649291992,31.425443649291992,31.040020240324,31.299958051361735,20276630,ITUB4.SA,1,0.4009129907597375
2020-01-15,31.040021896362305,31.317885430250847,30.833864959568736,31.273069277212027,36033250,ITUB4.SA,0,-0.7452014984008581
2020-01-16,31.102764129638672,31.434408535545764,30.85179105198528,31.28203061367681,25143250,ITUB4.SA,0,-0.5730653685881909
2020-01-17,31.31788444519043,31.64056412196835,31.129655103882165,31.28203114777066,21695190,ITUB4.SA,1,0.11461307371764182
2020-01-20,30.681486129760746,31.371661594093247,30.61874239284452,31.192395117605457,20154420,ITUB4.SA,0,-1.6379280459817809
2020-01-21,30.027162551879883,30.905569240761096,29.973383548379648,30.484292544250906,29565910,ITUB4.SA,0,-1.4995591310096974
2020-01-22,30.206432342529297,30.53807677603457,30.02716584357329,30.340882686891856,19187850,ITUB4.SA,0,-0.44313260675387517
2020-01-23,30.92350006103516,31.201363603143704,29.937533381520517,30.02716569024974,36385360,ITUB4.SA,1,2.985078178978692
2020-01-24,30.69045066833496,31.031057932651976,30.43051473330276,31.02209507848102,16231710,ITUB4.SA,0,-1.0690587122083473
2020-01-27,30.027162551879883,30.556001016554557,29.94649310633853,30.242284207626835,15825810,ITUB4.SA,0,-0.7113274059262362
2020-01-28,30.018199920654297,30.448441354756568,29.847896293907024,30.269174874123127,18903940,ITUB4.SA,0,-0.8291436899503555
2020-01-29,29.552106857299805,30.287100362872778,29.50729070761104,30.19746618291324,22078540,ITUB4.SA,0,-2.137130717207659
2020-01-30,29.98234748840332,29.98234748840332,29.20253780503384,29.265281545208875,45968780,ITUB4.SA,1,2.4502273866278195
2020-01-31,29.41765785217285,29.928568751723603,29.16668476980097,29.57003577690663,28005780,ITUB4.SA,0,-0.5153119390297796
